"Name","Aliases","Type","Programs","Country","Details","IMO","MMSI","Source_Agency","Source_List","UID","DOB","POB","Nationality","Addresses","Identifiers","Remarks"
"余茂春","余茂春","个人","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易活动;对其本人及直系亲属不予签发签证、不准入境","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","2022年12月23日发布"
"TODD STEIN","托德·斯坦恩","个人","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易活动;对其本人及直系亲属不予签发签证、不准入境","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","2022年12月23日发布"
"哈德逊研究所","哈德逊研究所","实体/公司","China - MFA Anti-Sanctions","USA","严格限制有关交易、交流、合作等活动","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第1号 (2023年4月7日)"
"里根图书馆","里根图书馆","实体/公司","China - MFA Anti-Sanctions","USA","严格限制有关交易、交流、合作等活动","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第1号 (2023年4月7日)"
"SARAH MAY STERN","萨拉·斯特恩","个人","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动;不予签发签证、不准入境","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第1号 (2023年4月7日)"
"JOHN P. WALTERS","约翰·瓦特斯","个人","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动;不予签发签证、不准入境","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第1号 (2023年4月7日)"
"JOHN HEUBUSCH","约翰·希布斯奇","个人","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动;不予签发签证、不准入境","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第1号 (2023年4月7日)"
"JOANNE M. DRAKE","乔安妮·德雷克","个人","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动;不予签发签证、不准入境","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第1号 (2023年4月7日)"
"MICHAEL MCCAUL","迈克·麦考尔","个人","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动;不予签发签证、不准入境","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","2023年4月13日发布"
"GENERAL ATOMICS AERONAUTICAL SYSTEMS","通用原子航空系统公司","实体/公司","China - MFA Anti-Sanctions","USA","冻结财产;对高级管理人员不予签发签证、不准入境","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第5号 (2024年4月11日)"
"GENERAL DYNAMICS LAND SYSTEMS","通用动力陆地系统公司","实体/公司","China - MFA Anti-Sanctions","USA","冻结财产;对高级管理人员不予签发签证、不准入境","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第5号 (2024年4月11日)"
